original	fao_tradename
T<fc>rkiye	Turkey
Russian Federation	Russia
China, mainland	China
United States of America	United States
United Kingdom of Great Britain and Northern Ireland	United Kingdom
Czechia	Czech Republic
North Macedonia	The former Yugoslav Republic of Macedonia
China, Taiwan Province of	Taiwan
China, Hong Kong SAR	Hong Kong
C̫te d'Ivoire	Cote d'Ivoire
Bolivia (Plurinational State of)	Bolivia
Sudan (former)	Sudan
Venezuela (Bolivarian Republic of)	Venezuela
Democratic People's Republic of Korea	Korea, Democratic People's Republic of
Republic of Korea	Korea, Republic of
Belgium-Luxembourg	Belgium
China, Macao SAR	Macau
Serbia and Montenegro	Serbia
Eswatini	Swaziland
American Samoa	Samoa
Cabo Verde	Cape Verde
Myanmar	Burma
Libya	Libyan Arab Jamahiriya
Micronesia (Federated States of)	Micronesia, Federated States of
